Population age;Male;Female;Total;% Population
De 0 a 4 años;33587;32261;65848;5,18
De 5 a 9 años;32761;31094;63855;5,02
De 10 a 14 años;28939;26729;55668;4,38
De 15 a 20 años;31214;24785;55999;4,40
De 20 a 24 años;46960;40603;87563;6,88
De 25 a 29 años;68087;66617;134704;10,59
De 30 a 34 años;78804;80303;159107;12,51
De 35 a 39 años;78989;77909;156898;12,34
De 40 a 44 años;77358;67724;145082;11,41
De 44 a 49 años;61764;51092;112856;8,87
De 50 a 54 años;44868;37885;82753;6,51
De 55 a 59 años;29382;26856;56238;4,42
De 60 a 64 años;18444;18723;37167;2,92
De 65 a 69 años;11542;12997;24539;1,93
De 70 a 74 años;6921;8615;15536;1,22
De 75 a 79 años;3929;5198;9127;0,72
De 80 a 84 años;2202;3145;5347;0,42
De 85 años y mas;1288;2235;3523;0,28
Total;657039;614771;1271810;100,00
%;51,66;48,34;100,00;

